"key","displayName","scientificName","familyOrCropGroup","growthForm","patternType","modelType","referenceZoneCode","startMonth","startDay","durationDays","triggerSignals","supportsHemisphereShift","supportsUsdaShift","pollinationRequirement","selfCompatibility","pollinationMode","preferredLearningSignals","researchStatus","researchNoteId","lastReviewedDate","uncertaintyNote","checklist_identityCaptured","checklist_aliasesReviewed","checklist_patternChosen","checklist_modelChosen","checklist_baselineTimingRecorded","checklist_pollinationDecisionRecorded","checklist_uncertaintyLogged","checklist_researchNoteLinked","checklist_cultivarAuditStarted","checklist_testsPresent","checklist_status","timedCultivarCount","catalogOnlyCultivarCount","pollinationOverrideCultivarCount"
"abiu","Abiu","Pouteria caimito","Sapotaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","5","1","92","spring_heat|warm_season","true","true","UNKNOWN","UNKNOWN","UNKNOWN","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Florida flowering behavior is documented better than pollination biology; keep the fertility default conservative.","true","true","true","true","true","true","true","true","true","true","reviewed","2","0","0"
"ambarella","Ambarella (June plum)","Spondias dulcis","Anacardiaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","4","1","92","spring_heat|warm_season","true","true","UNKNOWN","UNKNOWN","UNKNOWN","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Ambarella seasonality is clearer than its backyard fertility behavior, so the app should keep the pollination default conservative.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"apple","Apple","Malus domestica","Rosaceae / pome fruit","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","4","5","12","chill|spring_heat","true","true","NEEDS_CROSS_POLLINATION","SELF_STERILE","HAND_HELPFUL","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","Apple bloom is usually well-behaved seasonally, but chill fulfillment and cultivar overlap vary enough that local history should outrank the generic window.","true","true","true","true","true","true","true","true","true","true","reviewed","27","0","1"
"apricot","Apricot","Prunus armeniaca","Rosaceae / stone fruit","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","3","8","10","chill|spring_heat","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","stonefruit-bloom-research.md","2026-03-30","Apricots bloom very early, so frost and chill differences can matter more than the nominal catalog dates.","true","true","true","true","true","true","true","true","true","false","reviewed","4","0","0"
"asian pear","Asian Pear","Pyrus pyrifolia","Rosaceae / pome fruit","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","3","27","10","chill|spring_heat","true","true","NEEDS_CROSS_POLLINATION","SELF_STERILE","HAND_HELPFUL","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","Asian pear bloom is usually spring-early, but reliable fruit set depends heavily on compatible pollinizers and overlap rather than the generic date window alone.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"atemoya","Atemoya","Annona x atemoya","Annonaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","4","1","105","spring_heat|warm_season","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Natural set can be weak. Hand pollination or strong beetle activity often improves crops.","true","true","true","true","true","true","true","true","true","true","reviewed","6","0","1"
"avocado","Avocado","Persea americana","Lauraceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10a","3","1","45","spring_heat|warm_season","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Single trees can fruit, but A/B bloom overlap and nearby pollinizers often improve set.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"banana","Banana","Musa spp.","Musaceae","herbaceous","CONTINUOUS","MANUAL_ONLY","10b","5","1","90","warm_season","false","false","POLLINATION_NOT_REQUIRED","UNKNOWN","UNKNOWN","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Edible bananas are best treated as continuously active rather than date-precise bloomers, because flowering depends more on plant age and heat than a stable annual window.","true","true","true","true","true","true","true","true","true","true","reviewed","24","0","0"
"barbados cherry","Barbados Cherry","Malpighia emarginata","Malpighiaceae","shrub","MULTI_WAVE","TROPICAL_REPEAT","10b","4","1","210","warm_season|rainfall","false","false","SELF_FERTILE_CROSS_BENEFITS","SELF_FERTILE","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","barbados-cherry-research.md","2026-03-30","Acerola can flower in repeated warm-season flushes, so the model is more useful for watch windows than exact dates.","true","true","true","true","true","true","true","true","true","true","reviewed","29","0","1"
"black sapote","Black Sapote","Diospyros digyna","Ebenaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","3","15","170","spring_heat|warm_season","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","black-sapote-research.md","2026-03-30","Black sapote fertility and flowering behavior vary by cultivar, so both pollination guidance and timing should stay conservative.","true","true","true","true","true","true","true","true","true","true","reviewed","7","0","0"
"blackberry","Blackberry","Rubus spp.","Rosaceae / cane berry","cane","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","5","12","20","chill|spring_heat","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","Most blackberries are self-fruitful, but the species row is still a broad caneberry baseline rather than a cultivar-perfect fertility model.","true","true","true","true","true","true","true","true","true","true","reviewed","0","8","0"
"blueberry","Blueberry","Vaccinium spp.","Ericaceae / berry","shrub","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","3","29","18","chill|spring_heat","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","Rabbiteye and highbush bloom overlap is not uniform, so cross-pollination guidance is stronger than the generic species timing.","true","true","true","true","true","true","true","true","true","false","reviewed","34","0","0"
"caimito","Caimito (star apple)","Chrysophyllum cainito","Sapotaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","8","1","92","spring_heat|warm_season","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Some cultivars can set alone, while others benefit from or require cross-pollination.","true","true","true","true","true","true","true","true","true","true","reviewed","2","0","2"
"canistel","Canistel","Pouteria campechiana","Sapotaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","1","15","165","spring_heat|warm_season","true","true","SELF_FERTILE_CROSS_BENEFITS","SELF_FERTILE","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","canistel-research.md","2026-03-30","Canistel bloom timing is seasonally useful, but set and flowering intensity still vary enough that the baseline should stay coarse.","true","true","true","true","true","true","true","true","true","true","reviewed","9","0","0"
