"speciesKey","speciesDisplayName","cultivar","aliases","catalogOnly","hasPhaseAdjustment","phaseBucket","hasPollinationOverride","pollinationRequirement","researchStatus","researchNoteId","lastReviewedDate"
"abiu","Abiu","Gray","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"abiu","Abiu","Z-2","Z2","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"apple","Apple","Ambrosia","","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Anna","","false","true","EARLY","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Arkansas Black","","false","true","MID_LATE","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Braeburn","","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Cortland","","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Empire","","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Enterprise","","false","true","MID_LATE","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Fuji","","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Gala","Royal Gala","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Ginger Gold","","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Golden Delicious","","false","true","MID","true","CROSS_POLLINATION_RECOMMENDED","reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Granny Smith","","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Grimes Golden","","false","true","MID_LATE","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Honeycrisp","","false","true","MID_LATE","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Jonagold","","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Liberty","","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Macoun","","false","true","MID_LATE","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","McIntosh","","false","true","EARLY_MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Mutsu","","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Pink Lady","Cripps Pink","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Pristine","","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Red Delicious","","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Rome Beauty","","false","true","MID_LATE","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","SunCrisp","","false","true","MID_LATE","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Sweet Sixteen","","false","true","MID_LATE","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Winesap","","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apple","Apple","Zestar!","Zestar","false","true","MID","false",,"reviewed","pome-berry-bloom-research.md","2026-03-30"
"apricot","Apricot","Blenheim","","false","true","EARLY","false",,"reviewed","stonefruit-bloom-research.md","2026-03-30"
"apricot","Apricot","Goldcot","","false","true","MID","false",,"reviewed","stonefruit-bloom-research.md","2026-03-30"
"apricot","Apricot","Harcot","","false","true","LATE","false",,"reviewed","stonefruit-bloom-research.md","2026-03-30"
"apricot","Apricot","Moorpark","","false","true","MID","false",,"reviewed","stonefruit-bloom-research.md","2026-03-30"
"atemoya","Atemoya","African Pride","Kaller","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"atemoya","Atemoya","Bradley","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"atemoya","Atemoya","Gefner","Geffner","false","true","MID","true","SELF_FERTILE_CROSS_BENEFITS","reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"atemoya","Atemoya","Page","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"atemoya","Atemoya","Pink Mammoth","Mammoth|Pinks Mammoth","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"atemoya","Atemoya","Priestly","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","African Rhino Horn","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Apple","Apple Banana|Manzana|Silk","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Blue Java","Ice Cream|Ice Cream Banana","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Burro","Platano Burro","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Cavendish","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Costa Rican Hybrid Globe","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Cuban Red","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Double Banana","Double","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Dwarf Cavendish","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Dwarf Red","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Giant Cavendish","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Goldfinger","FHIA-01|FHIA 01","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Grand Nain","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Gros Michel","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Lacatan","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Lady Finger","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Mona Lisa","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Orinoco","Horse Banana|Hog Banana","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Popoulu","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Praying Hands","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Rajapuri","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Robusta","Valery","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Sweetheart","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"banana","Banana","Thousand Fingers","","false","true","MID","false",,"reviewed","tropical-catalog-backfill-research.md","2026-03-30"
"barbados cherry","Barbados Cherry","B-17","B17","false","true","MID","false",,"reviewed","barbados-cherry-research.md","2026-03-30"
"barbados cherry","Barbados Cherry","BRS 235 Apodi","Apodi","false","true","MID","false",,"reviewed","barbados-cherry-research.md","2026-03-30"
